,Prices,title,location,time_publication,Type,Model,Marque,Kilometrage,Etat,Annee_Modele,Premiere_main,Nombre_de_portes,Origine,Secteur
117,415 000 DH,Range rover evoque bb velar full options,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",F-Type,Jaguar,25 000 - 29 999,6,2017.0,Oui,3.0,WW au Maroc,Centre Ville
118,430 000 DH,Range rover vogue neuve,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",Range Rover Sport,Land Rover,100 000 - 109 999,Excellent,2018.0,Non,5.0,WW au Maroc,Californie
119,430 000 DH,Jaguar F-Type supercharged,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",A4,Audi,170 000 - 179 999,Excellent,2013.0,Oui,5.0,Importée neuve,2 Mars
120,680 000 DH,Rang Rover sport dynamic plus,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",Classe C,Mercedes-Benz,170 000 - 179 999,Excellent,2011.0,Non,5.0,Dédouanée,Centre Ville
121,215 000 DH,Audi a4 importé neuve,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",A4,Audi,160 000 - 169 999,6,2013.0,Non,5.0,Importée neuve,Centre Ville
122,240 000 DH,Mercedes c63 AMG performance carbone édition,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",F-Type,Jaguar,30 000 - 34 999,Excellent,2017.0,Non,5.0,WW au Maroc,2 Mars
123,215 000 DH,Audi a4 full rs4 importé neuve fin 2013,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",Clio,Renault,190 000 - 199 999,,2007.0,,5.0,WW au Maroc,
124,430 000 DH,Jaguar f-type coupé 30000km,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",Tiguan,Volkswagen,90 000 - 94 999,Excellent,2017.0,Oui,5.0,Dédouanée,
125,45 000 DH,Renault,Berrechid,il y a 1 heure,"Voitures d'occasion, à vendre",Range Rover Evoque,Land Rover,70 000 - 74 999,Très bon,2016.0,Oui,5.0,WW au Maroc,Aïn Sebaâ
126,355 000 DH,Tiguan Pack Rlin,Fès,il y a 1 heure,"Voitures d'occasion, à vendre",GRANDE PUNTO,Fiat,150 000 - 159 999,Très bon,2015.0,,5.0,WW au Maroc,
